date,Arizona,Utah
2018-07-28,122.0,74.0
2018-07-29,97.0,77.0
2018-07-30,100.0,112.0
2018-07-31,108.0,122.0
2018-08-01,133.0,101.0
2018-08-02,152.0,90.0
2018-08-03,115.0,101.0
2018-08-04,87.0,101.0
2018-08-05,64.0,97.0
2018-08-06,112.0,129.0
2018-08-07,122.0,143.0
2018-08-08,141.0,108.0
2018-08-09,115.0,156.0
2018-08-10,119.0,156.0
2018-08-11,136.0,129.0
2018-08-12,101.0,101.0
2018-08-13,90.0,148.5
2018-08-14,94.0,101.0
2018-08-15,97.0,93.0
2018-08-16,71.0,74.0
2018-08-17,84.0,84.0
2018-08-18,58.0,71.0
2018-08-19,64.0,93.0
2018-08-20,94.0,61.0
2018-08-21,61.0,42.0
2018-08-22,63.0,42.0
2018-08-23,63.0,90.0
2018-08-24,53.0,51.66666666666666
2018-08-25,74.0,49.0
2018-08-26,48.0,49.0
2018-08-27,42.0,68.0
2018-08-28,71.0,46.0
2018-08-29,61.0,49.0
2018-08-30,87.0,42.0
2018-08-31,101.0,58.0
2018-09-01,55.0,77.0
2018-09-02,61.0,80.0
2018-09-03,45.0,77.0
2018-09-04,43.0,58.0
2018-09-05,64.0,61.0
2018-09-06,72.0,58.0
2018-09-07,87.0,80.0
2018-09-08,61.0,47.0
2018-09-09,64.0,77.0
2018-09-10,53.0,47.0
2018-09-11,45.0,50.0
2018-09-12,46.0,50.0
2018-09-13,53.0,42.0
2018-09-14,77.0,158.5
2018-09-15,71.0,119.0
2018-09-16,51.0,56.0
2018-09-17,67.0,159.0
2018-09-18,49.0,152.0
2018-09-19,36.0,160.0
2018-09-20,61.0,49.0
2018-09-21,61.0,107.0
2018-09-22,51.0,87.5
2018-09-23,45.0,55.0
2018-09-24,43.0,44.0
2018-09-25,41.0,48.5
2018-09-26,54.0,53.5
2018-09-27,51.0,57.0
2018-09-28,64.0,48.0
2018-09-29,39.0,44.0
2018-09-30,41.0,33.0
2018-10-01,32.0,43.0
2018-10-02,23.0,40.5
2018-10-03,27.0,29.0
2018-10-04,32.0,31.0
2018-10-05,45.0,44.0
2018-10-06,43.0,42.0
2018-10-07,46.0,30.0
2018-10-08,41.0,26.0
2018-10-09,44.0,37.0
2018-10-10,45.0,28.0
2018-10-11,31.0,26.0
2018-10-12,28.0,32.5
2018-10-13,21.0,40.0
2018-10-14,37.0,32.0
2018-10-15,38.0,31.0
2018-10-16,29.0,31.0
2018-10-17,34.0,34.0
2018-10-18,39.0,38.0
2018-10-19,36.0,35.0
2018-10-20,32.0,36.0
2018-10-21,33.0,31.0
2018-10-22,33.0,31.0
2018-10-23,31.0,34.0
2018-10-24,38.0,33.0
2018-10-25,44.0,32.0
2018-10-26,45.0,31.0
2018-10-27,46.0,31.0
2018-10-28,44.0,41.0
2018-10-29,44.0,36.0
2018-10-30,37.0,33.0
2018-10-31,37.0,31.0
2018-11-01,42.0,25.0
2018-11-02,41.0,34.0
2018-11-03,45.0,41.0
2018-11-04,42.0,35.0
2018-11-05,45.0,38.0
2018-11-06,41.0,39.0
2018-11-07,44.0,37.0
2018-11-08,42.0,33.0
2018-11-09,43.0,33.0
2018-11-10,45.0,34.0
2018-11-11,45.0,34.0
2018-11-12,41.0,31.0
2018-11-13,40.0,36.0
2018-11-14,35.0,35.0
2018-11-15,44.0,42.0
2018-11-16,47.0,40.5
2018-11-17,58.0,43.0
2018-11-18,66.0,33.5
2018-11-19,54.0,36.0
2018-11-20,41.0,43.5
2018-11-21,55.0,55.5
2018-11-22,84.0,34.5
2018-11-23,72.0,33.0
2018-11-24,67.0,33.0
2018-11-25,42.0,26.0
2018-11-26,51.0,31.0
2018-11-27,52.0,43.5
2018-11-28,51.0,37.0
2018-11-29,60.0,34.0
2018-11-30,34.0,29.0
2018-12-01,45.0,31.0
2018-12-02,45.0,31.0
2018-12-03,53.0,33.0
2018-12-04,36.0,37.0
2018-12-05,33.0,45.0
2018-12-06,58.0,68.0
2018-12-07,31.0,81.5
2018-12-08,58.0,95.5
2018-12-09,54.0,80.5
2018-12-10,35.0,51.66666666666666
2018-12-11,38.0,84.0
2018-12-12,59.0,35.0
2018-12-13,43.0,31.0
2018-12-14,38.0,34.0
2018-12-15,33.0,39.0
2018-12-16,60.0,36.0
2018-12-17,58.0,36.0
2018-12-18,51.0,33.0
2018-12-19,60.0,35.0
2018-12-20,66.0,35.0
2018-12-21,56.0,32.0
2018-12-22,61.0,37.0
2018-12-23,59.0,33.0
2018-12-24,82.0,41.0
2018-12-25,72.0,35.5
2018-12-26,33.0,31.0
2018-12-27,32.0,33.0
2018-12-28,35.0,33.0
2018-12-29,36.0,32.0
2018-12-30,37.0,35.0
2018-12-31,46.0,18.0
2019-01-01,55.0,29.0
2019-01-02,34.0,45.0
2019-01-03,58.0,56.0
2019-01-04,48.0,78.0
2019-01-05,46.0,59.0
2019-01-06,47.0,34.0
2019-01-07,46.0,36.0
2019-01-08,42.0,49.0
2019-01-09,55.0,35.0
2019-01-10,39.0,49.0
2019-01-11,64.0,71.0
2019-01-12,53.0,65.0
2019-01-13,39.0,66.0
2019-01-14,31.0,72.0
2019-01-15,26.0,81.0
2019-01-16,43.0,32.0
2019-01-17,35.0,31.0
2019-01-18,42.0,34.0
2019-01-19,39.0,31.0
2019-01-20,35.0,36.0
2019-01-21,40.0,32.5
2019-01-22,36.0,32.0
2019-01-23,41.0,45.0
2019-01-24,41.0,62.5
2019-01-25,38.0,35.0
2019-01-26,47.0,54.0
2019-01-27,41.0,52.66666666666666
2019-01-28,48.0,45.0
2019-01-29,52.0,54.5
2019-01-30,51.0,47.5
2019-01-31,53.0,38.0
2019-02-01,42.0,40.5
2019-02-02,38.0,38.0
2019-02-03,23.0,42.0
2019-02-04,36.0,38.5
2019-02-05,39.0,45.0
2019-02-06,43.0,39.0
2019-02-07,41.0,42.0
2019-02-08,41.0,39.0
2019-02-09,52.0,44.0
2019-02-10,43.0,46.0
2019-02-11,47.0,43.0
2019-02-12,43.0,42.0
2019-02-13,42.0,40.5
2019-02-14,47.0,38.0
2019-02-15,39.0,46.0
2019-02-16,46.0,44.0
2019-02-17,44.0,41.0
2019-02-18,43.0,42.0
2019-02-19,41.0,42.0
2019-02-20,43.0,43.0
2019-02-21,36.0,42.0
2019-02-22,37.0,41.0
2019-02-23,44.0,44.0
2019-02-24,45.0,44.0
2019-02-25,47.0,40.0
2019-02-26,42.0,44.0
2019-02-27,48.0,40.0
2019-02-28,48.0,41.0
2019-03-01,42.0,37.0
2019-03-02,36.0,36.0
2019-03-03,42.0,44.0
2019-03-04,44.0,44.0
2019-03-05,50.0,40.0
2019-03-06,47.0,37.0
2019-03-07,36.0,38.0
2019-03-08,68.0,45.0
2019-03-09,48.0,43.0
2019-03-10,45.0,47.0
2019-03-11,38.0,45.0
2019-03-12,44.0,46.5
2019-03-13,49.0,44.5
2019-03-14,46.0,46.0
2019-03-15,47.0,47.0
2019-03-16,47.0,53.0
2019-03-17,49.0,48.0
2019-03-18,51.0,45.0
2019-03-19,49.0,61.0
2019-03-20,44.0,64.0
2019-03-21,48.0,51.5
2019-03-22,54.0,44.0
2019-03-23,61.0,44.0
2019-03-24,84.0,42.0
2019-03-25,80.0,64.0
2019-03-26,80.0,58.0
2019-03-27,64.0,48.0
2019-03-28,74.0,49.0
2019-03-29,54.0,44.0
2019-03-30,71.0,45.0
2019-03-31,77.0,49.0
2019-04-01,67.0,45.0
2019-04-02,54.0,43.0
2019-04-03,50.0,43.0
2019-04-04,45.0,45.0
2019-04-05,46.0,46.0
2019-04-06,49.0,44.0
2019-04-07,64.0,45.0
2019-04-08,74.0,41.0
2019-04-09,50.0,45.0
2019-04-10,69.0,38.0
2019-04-11,49.0,44.0
2019-04-12,71.0,44.0
2019-04-13,71.0,46.0
2019-04-14,71.0,44.0
2019-04-15,71.0,46.0
2019-04-16,49.0,43.5
2019-04-17,58.0,48.0
2019-04-18,74.0,49.0
2019-04-19,64.0,48.0
2019-04-20,54.0,47.0
2019-04-21,49.0,44.0
2019-04-22,74.0,51.0
2019-04-23,64.0,50.0
2019-04-24,87.0,45.0
2019-04-25,87.0,36.0
2019-04-26,100.0,44.0
2019-04-27,80.0,47.0
2019-04-28,54.0,80.0
2019-04-29,55.0,44.0
2019-04-30,42.0,42.0
2019-05-01,51.0,51.0
2019-05-02,67.0,49.0
2019-05-03,108.0,54.0
2019-05-04,93.0,54.0
2019-05-05,80.0,61.0
2019-05-06,42.0,54.0
2019-05-07,49.0,47.0
2019-05-08,58.0,43.0
2019-05-09,51.0,46.0
2019-05-10,43.0,51.0
2019-05-11,49.0,74.0
2019-05-12,48.0,58.0
2019-05-13,93.0,61.0
2019-05-14,97.0,54.0
2019-05-15,74.0,49.0
2019-05-16,61.0,47.0
2019-05-17,61.0,44.0
2019-05-18,67.0,38.0
2019-05-19,54.0,50.0
2019-05-20,49.0,54.0
2019-05-21,61.0,40.0
2019-05-22,49.0,46.0
2019-05-23,50.0,67.0
2019-05-24,80.0,42.0
2019-05-25,77.0,47.0
2019-05-26,44.0,54.0
2019-05-27,47.0,50.0
2019-05-28,97.0,43.0
2019-05-29,90.0,50.0
2019-05-30,93.0,50.0
2019-05-31,71.0,58.0
2019-06-01,50.0,87.0
2019-06-02,47.0,61.0
2019-06-03,50.0,84.0
2019-06-04,90.0,97.0
2019-06-05,87.0,74.0
2019-06-06,84.0,48.0
2019-06-07,52.0,74.0
2019-06-08,100.0,49.0
2019-06-09,115.0,48.0
2019-06-10,50.0,67.0
2019-06-11,97.0,74.0
2019-06-12,115.0,45.0
2019-06-13,84.0,54.0
2019-06-14,50.0,67.0
2019-06-15,80.0,58.0
2019-06-16,49.0,58.0
2019-06-17,49.0,50.0
2019-06-18,61.0,80.0
2019-06-19,74.0,71.0
2019-06-20,74.0,46.0
2019-06-21,48.0,47.0
2019-06-22,50.0,44.0
2019-06-23,77.0,45.0
2019-06-24,115.0,58.0
2019-06-25,74.0,64.0
2019-06-26,39.0,74.0
2019-06-27,67.0,50.0
2019-06-28,101.0,71.0
2019-06-29,100.0,67.0
2019-06-30,64.0,37.0
2019-07-01,48.0,48.0
2019-07-02,45.0,47.0
2019-07-03,52.0,97.0
2019-07-04,44.0,61.0
2019-07-05,54.0,87.0
2019-07-06,61.0,61.0
2019-07-07,44.0,42.0
2019-07-08,44.0,44.0
2019-07-09,100.0,71.0
2019-07-10,71.0,50.0
2019-07-11,72.0,43.0
2019-07-12,100.0,50.0
2019-07-13,77.0,43.0
2019-07-14,61.0,47.0
2019-07-15,101.0,48.0
2019-07-16,90.0,61.0
