T_degC,Salnty,O2ml_L
6.23,34.07,1.41
10.32,33.74,3.46
17.16,33.95,5.22
9.922,33.374,4.167
10.76,33.346,4.05
10.11,33.67,3.57
10.26,34.12,
8.18,33.801,3.76
18.69,33.792,5.54
7.3,34.27,0.8
14.53,33.198,5.86
7.35,34.188,1.19
6.66,34.239000000000004,
7.26,34.343,0.47
8.45,33.904,
10.1,33.28,
12.97,35.054,2.31
5.37,34.166,0.9
11.26,33.251999999999995,4.74
9.2,34.166,1.79
12.2,33.727,5.64
12.55,33.572,5.72
16.34,,5.49
20.48,33.75,5.0
9.21,,3.02
8.8,34.02,1.88
14.27,33.05,6.01
21.62,33.89,5.18
13.67,32.867,6.15
5.11,34.407,0.1
11.7,33.716,6.51
10.91,33.645,4.03
7.61,34.076,2.27
8.47,34.008,2.27
11.53,33.519,4.92
4.07,34.334,0.26
8.11,34.137,1.62
11.82,33.686,3.99
18.79,34.261,5.1
24.09,33.393,5.32
17.99,34.154,
13.48,33.34,5.89
13.79,,5.32
5.28,34.514,
6.72,34.12,1.33
15.73,33.319,6.03
7.98,34.183,1.27
9.88,34.47,0.7
11.65,33.706,4.78
6.78,34.221,0.59
9.22,33.704,3.15
1.83,34.65,2.28
14.02,33.38,
6.7,34.23,0.96
18.07,33.95,5.73
9.77,34.421,0.76
10.92,,2.61
9.47,33.756,3.21
10.68,33.92,2.73
8.987,34.0094,2.2430000000000003
9.85,34.546,0.29
9.96,33.913000000000004,5.32
15.28,33.646,5.35
9.84,33.789,3.04
7.73,34.1635,1.157
8.65,33.967,2.82
10.95,34.659,0.26
11.87,34.822,0.7
10.03,33.81,
17.67,33.75,5.28
9.7,33.81,3.35
19.75,33.465,5.65
6.88,34.276,0.36
14.76,33.898,5.56
7.73,34.071,2.11
19.07,33.376,5.7
13.34,33.831,5.45
9.41,,3.15
11.77,33.61,5.6
7.11,,0.78
20.85,34.23,5.14
6.32,34.202,1.01
10.88,34.099000000000004,2.15
8.81,,
8.76,34.06,
8.65,33.89,3.45
14.7,33.15,
7.35,33.251999999999995,4.8
7.97,34.106,2.11
6.71,34.146,
7.9,34.034,2.5
10.2,33.413000000000004,4.67
8.56,34.125,1.63
16.07,33.692,
10.82,,0.27
8.488999999999999,34.2159,1.146
5.06,34.266,0.37
13.94,33.408,5.68
15.35,33.44,5.57
4.05,34.51,
1.52,34.67,
10.34,,4.29
15.47,33.431,5.94
11.99,34.81,0.09
14.88,33.56,5.73
16.55,33.523,5.75
14.6,33.411,5.92
7.24,34.151,1.37
14.238,33.4619,6.0360000000000005
12.694,33.3018,6.062
15.681,33.6806,
12.82,33.29,6.14
9.37,33.453,4.85
12.05,33.699,
19.42,33.71,5.62
8.68,33.957,3.06
9.23,33.666,4.25
10.64,,0.3
10.56,33.783,3.12
5.06,34.55,0.29
9.21,34.269,
5.65,34.357,0.4
9.71,34.207,1.69
11.9,33.428000000000004,4.92
13.75,33.738,4.06
10.5,34.201,2.67
16.5,33.522,6.18
7.73,,0.36
8.6,34.171,1.31
4.06,34.47,0.41
13.89,33.227,6.12
