YEAR,MONTH,METRIC,d1,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d2,d20,d21,d22,d23,d24,d25,d26,d27,d28,d29,d3,d30,d31,d4,d5,d6,d7,d8,d9
2007,4,TMAX,49.0,30.0,37.0,43.0,46.0,54.0,52.0,52.0,53.0,45.0,38.0,48.0,46.0,43.0,41.0,45.0,50.0,53.0,53.0,57.0,66.0,67.0,49.0,64.0,9999.0,58.0,54.0,57.0,55.0,46.0,48.0
2007,4,TMIN,34.0,21.0,19.0,24.0,26.0,28.0,36.0,31.0,33.0,21.0,20.0,35.0,29.0,28.0,30.0,28.0,32.0,33.0,37.0,35.0,44.0,48.0,29.0,47.0,9999.0,36.0,38.0,38.0,36.0,31.0,27.0
2007,5,PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
2007,5,TMAX,66.0,67.0,70.0,70.0,66.0,60.0,65.0,68.0,68.0,69.0,69.0,62.0,68.0,54.0,45.0,50.0,54.0,61.0,65.0,69.0,64.0,53.0,49.0,59.0,63.0,38.0,36.0,43.0,54.0,60.0,63.0
2007,5,TMIN,48.0,45.0,49.0,53.0,48.0,42.0,39.0,44.0,45.0,47.0,48.0,45.0,48.0,28.0,23.0,27.0,31.0,38.0,44.0,49.0,40.0,33.0,26.0,34.0,40.0,26.0,26.0,28.0,33.0,38.0,42.0
2007,6,PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,0.0,0.1,0.8,0.0,0.0,0.0
2007,6,TMAX,67.0,69.0,64.0,64.0,69.0,71.0,76.0,77.0,65.0,64.0,75.0,71.0,76.0,77.0,78.0,78.0,76.0,70.0,76.0,77.0,76.0,77.0,71.0,76.0,9999.0,72.0,67.0,54.0,42.0,56.0,65.0
2007,6,TMIN,44.0,45.0,48.0,46.0,47.0,50.0,51.0,60.0,43.0,40.0,49.0,48.0,60.0,56.0,56.0,57.0,59.0,53.0,49.0,52.0,53.0,55.0,50.0,56.0,9999.0,49.0,54.0,31.0,30.0,31.0,39.0
2007,7,PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2007,7,TMAX,81.0,82.0,79.0,72.0,79.0,83.0,84.0,78.0,75.0,79.0,80.0,81.0,79.0,80.0,81.0,78.0,73.0,72.0,72.0,75.0,79.0,81.0,78.0,82.0,79.0,79.0,81.0,81.0,81.0,76.0,80.0
