bib,race,division,city,time,pace
3016,5K,Division:F  1- 9,"Spanish Fork, UTAH",45:04.4,14:32/M
3017,5K,Division:F 25-29,"Eagle Mountain, UTAH",41:28.4,13:23/M
3018,5K,Division:F 30-34,"Vineyard, UTAH",21:58.3,7:05/M
3019,5K,Division:M 35-39,"Vineyard, UTAH",17:59.6,5:48/M
3020,5K,Division:F 35-39,"Casper, WYOMING",47:08.2,15:12/M
3021,5K,Division:M 16-19,"Casper, WYOMING",18:57.1,6:07/M
3022,5K,Division:F 10-12,"Casper, WYOMING",38:25.2,12:24/M
3023,5K,Division:F 10-12,"Casper, WYOMING",47:09.4,15:13/M
3024,5K,Division:M 40-44,"Lehi, UTAH",28:43.9,9:16/M
3025,5K,Division:F 10-12,"Highland, UTAH",33:53.2,10:56/M
3026,5K,Division:M 13-15,"Highland, UTAH",24:56.6,8:03/M
3027,5K,Division:F 16-19,"Highland, UTAH",32:46.5,10:34/M
3028,5K,Division:M 45-49,"Highland, UTAH",35:34.0,11:28/M
3029,5K,Division:M 20-24,"Payson, UTAH",43:41.3,14:06/M
3030,5K,Division:M 30-34,"Provo, UTAH",24:24.4,7:52/M
3031,5K,Division:F  1- 9,"Provo, UTAH",24:24.2,7:52/M
3033,5K,Division:M 16-19,"Highland, UTAH",26:54.4,8:41/M
3035,5K,Division:M 30-34,"Cedar City, UTAH",29:33.5,9:32/M
3036,5K,Division:M  1- 9,"Cedar City, UTAH",29:32.5,9:32/M
3037,1 Mile,Division:M 12-13,"Eagle, IDAHO",6:17.7,6:18/M
3038,1 Mile,Division:F 14-99,"Eagle, IDAHO",16:28.1,16:28/M
3039,1 Mile,Division:M 14-99,"Eagle, IDAHO",7:16.8,7:17/M
3040,5K,Division:M 45-49,"Holladay, UTAH",23:04.3,7:27/M
3041,5K,Division:F 50-54,"Cedar Hills, UTAH",39:56.8,12:53/M
3042,5K,Division:F 45-49,"Salem, UTAH",38:28.0,12:25/M
3043,5K,Division:F 70-80,"Saratoga Springs, UTAH",44:04.2,14:13/M
3044,5K,Division:F 55-59,"Provo, UTAH",50:44.0,16:22/M
3045,5K,Division:F 25-29,"Provo, UTAH",48:28.8,15:38/M
3046,5K,Division:M 16-19,"Saratoga Springs, UTAH",18:23.3,5:56/M
3047,5K,Division:M 50-54,"Northglenn, COLORADO",31:14.0,10:05/M
3048,5K,Division:F 50-54,"Northglenn, COLORADO",25:53.1,8:21/M
