"playerID","total_hits","total_hr","total_rbi","total_sb","firstName","lastName"
"cliftha01",1558,178,829,69,"Harlond","Clift"
"clinege01",645,5,187,71,"Gene","Clines"
"clingbi01",700,8,302,98,"Billy","Clingman"
"clintlo01",532,65,269,12,"Lou","Clinton"
"coangi01",731,39,278,83,"Gil","Coan"
"cobbty01",4189,117,1944,896,"Ty","Cobb"
"cochrmi01",1652,119,832,64,"Mickey","Cochrane"
"coghlch01",666,53,234,47,"Chris","Coghlan"
"colavro01",1730,374,1159,19,"Rocky","Colavito"
"colbena01",833,173,520,52,"Nate","Colbert"
"colbrgr01",801,98,422,29,"Greg","Colbrunn"
"colemgo01",650,98,387,9,"Gordy","Coleman"
"colemje01",558,16,217,22,"Jerry","Coleman"
"colemvi01",1425,28,346,752,"Vince","Coleman"
"colesda01",709,75,368,20,"Darnell","Coles"
"collida02",1335,32,373,395,"Dave","Collins"
"collied01",3315,47,1300,741,"Eddie","Collins"
"collihu01",790,11,319,335,"Hub","Collins"
"colliji01",1999,65,983,194,"Jimmy","Collins"
"collijo01",596,86,329,27,"Joe","Collins"
"colliri02",1121,135,659,18,"Ripper","Collins"
"collish01",1687,22,709,225,"Shano","Collins"
"combsea01",1866,58,632,96,"Earle","Combs"
"comorad01",795,28,417,57,"Adam","Comorosky"
"conceda01",2326,101,950,321,"Dave","Concepcion"
"conigto01",849,166,516,20,"Tony","Conigliaro"
"coninje01",1982,214,1071,54,"Jeff","Conine"
"conrowi01",1257,22,452,262,"Wid","Conroy"
"cooledu01",1579,26,557,224,"Duff","Cooley"
"coomero01",827,92,449,13,"Ron","Coomer"
"coonejo01",965,2,219,30,"Johnny","Cooney"
"coopece01",2192,241,1125,89,"Cecil","Cooper"
"coopewa01",1341,173,812,18,"Walker","Cooper"
"coraal01",828,35,286,47,"Alex","Cora"
"corajo01",1035,30,294,117,"Joey","Cora"
"corcoto01",2259,34,1137,388,"Tommy","Corcoran"
"cordewi01",1178,122,566,49,"Wil","Cordero"
"cordoma01",938,122,540,57,"Marty","Cordova"
"correca01",573,102,372,33,"Carlos","Correa"
"coscape01",728,28,269,34,"Pete","Coscarart"
"cottohe01",569,44,210,130,"Henry","Cotto"
"coughbi01",972,15,380,159,"Bill","Coughlin"
"counscr01",1208,42,390,103,"Craig","Counsell"
"courtcl01",750,38,313,3,"Clint","Courtney"
"covinwe01",832,131,499,7,"Wes","Covington"
"cowenal01",1494,108,717,120,"Al","Cowens"
"coxbi02",974,66,351,42,"Billy","Cox"
"cozarza01",764,87,305,21,"Zack","Cozart"
"craftha01",533,44,267,14,"Harry","Craft"
"craigal01",506,59,296,11,"Allen","Craig"
"cramedo01",2705,37,842,62,"Doc","Cramer"
"crandde01",1276,179,657,26,"Del","Crandall"
"cravaga01",1134,119,719,89,"Gavvy","Cravath"
"crawfbr01",1055,98,536,31,"Brandon","Crawford"
"crawfca02",1931,136,766,480,"Carl","Crawford"
"crawfsa01",2961,97,1519,366,"Sam","Crawford"
"crawfwi01",921,86,419,47,"Willie","Crawford"
"credejo01",787,140,470,4,"Joe","Crede"
"creebi01",761,11,332,132,"Birdie","Cree"
"crigelo01",709,11,342,58,"Lou","Criger"
"crispco01",1572,130,639,309,"Coco","Crisp"
"critzhu01",1591,38,531,97,"Hughie","Critz"
"cromawa01",1104,61,391,50,"Warren","Cromartie"
"croncj01",601,114,365,9,"C. J.","Cron"
"cronijo01",2285,170,1424,87,"Joe","Cronin"
"crookja01",671,21,314,220,"Jack","Crooks"
