ID,MP,PTS,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,TOV
Hunter Erickson-2022,6.2,1.1,0.471,0.571,0.4,0.588,0.0,0.4,0.4,0.2,0.1,0.4
Fousseyni Traore-2023,24.8,12.9,0.607,1.0,0.605,0.608,0.758,7.8,1.5,0.7,0.7,2.2
Rudi Williams-2023,23.5,12.8,0.463,0.314,0.537,0.515,0.843,2.7,2.8,0.8,0.2,2.2
Spencer Johnson-2023,29.0,11.1,0.508,0.461,0.546,0.612,0.755,3.6,1.8,1.6,0.1,1.5
Gideon George-2023,26.4,10.4,0.432,0.32,0.512,0.498,0.674,5.8,1.2,1.1,0.6,1.6
Jaxson Robinson-2023,28.1,8.5,0.386,0.343,0.477,0.502,0.68,2.9,1.8,0.8,0.5,1.5
Dallin Hall-2023,20.6,7.3,0.412,0.367,0.453,0.5,0.629,1.9,3.2,0.7,0.1,1.6
Richie Saunders-2023,15.9,5.5,0.453,0.333,0.586,0.541,0.684,2.4,0.8,0.6,0.3,0.7
Noah Waterman-2023,17.0,4.6,0.366,0.323,0.449,0.472,0.543,2.8,0.8,0.5,0.4,1.1
Atiki Ally Atiki-2023,14.5,3.8,0.511,0.0,0.523,0.511,0.686,3.6,0.5,0.4,1.1,1.2
Trey Stewart-2023,10.2,1.5,0.25,0.118,0.4,0.281,0.5,1.2,1.0,0.8,0.2,0.5
Jaxson Robinson-2024,26.4,14.2,0.426,0.354,0.532,0.531,0.908,2.5,1.3,0.7,0.4,1.5
Fousseyni Traore-2024,18.4,10.9,0.626,0.667,0.625,0.631,0.716,5.2,1.3,0.6,0.8,1.7
Trevin Knell-2024,24.3,10.6,0.453,0.385,0.6,0.585,0.771,3.4,1.3,0.6,0.1,0.6
Spencer Johnson-2024,27.9,10.3,0.418,0.297,0.533,0.49,0.811,6.3,3.3,1.0,0.1,1.6
Richie Saunders-2024,20.7,9.6,0.523,0.364,0.636,0.598,0.712,4.1,1.1,0.8,0.2,0.4
Noah Waterman-2024,24.1,9.5,0.457,0.37,0.632,0.58,0.807,5.4,0.7,0.4,0.6,0.7
Dallin Hall-2024,29.3,9.0,0.422,0.359,0.509,0.526,0.632,3.5,5.1,1.0,0.0,1.7
Aly Khalifa-2024,19.4,5.7,0.386,0.315,0.492,0.48,0.621,3.7,4.0,0.3,0.6,1.1
Atiki Ally Atiki-2024,11.0,4.0,0.621,0.0,0.641,0.621,0.458,2.9,0.3,0.3,0.5,0.9
Trey Stewart-2024,9.4,2.2,0.407,0.261,0.516,0.463,0.6,1.8,1.1,0.5,0.2,0.8
