country,region,sub-region,iso_alpha,happiness_score,economy,family,health,freedom,generosity,corruption,dystopia
Romania,Europe,Eastern Europe,ROU,6.547666666666667,1.687,1.3056666666666665,0.5223333333333333,0.7316666666666666,0.03766666666666666,0.006999999999999999,2.2566666666666664
Russia,Europe,Eastern Europe,RUS,5.797,1.6506666666666667,1.4276666666666664,0.45566666666666666,0.5673333333333334,0.11766666666666666,0.11233333333333333,1.4653333333333334
Saudi Arabia,Asia,Western Asia,SAU,6.552333333333333,1.8153333333333332,1.4323333333333335,0.5253333333333333,0.7946666666666667,0.104,0.18166666666666667,1.6986666666666668
Senegal,Africa,Sub-Saharan Africa,SEN,4.8933333333333335,0.9256666666666667,0.8183333333333334,0.35200000000000004,0.631,0.141,0.073,1.9526666666666668
Serbia,Europe,Southern Europe,SRB,6.3870000000000005,1.5263333333333335,1.4513333333333334,0.518,0.6823333333333333,0.19233333333333333,0.09633333333333334,1.9196666666666669
Sierra Leone,Africa,Sub-Saharan Africa,SLE,3.1270000000000002,0.7033333333333335,0.5993333333333334,0.224,0.4843333333333333,0.17066666666666666,0.052,0.8933333333333334
Singapore,Asia,South-eastern Asia,SGP,6.558333333333334,2.1026666666666665,1.4266666666666667,0.7703333333333333,0.753,0.16733333333333333,0.5526666666666666,0.7853333333333333
Slovakia,Europe,Eastern Europe,SVK,6.315666666666666,1.6886666666666665,1.6153333333333333,0.5523333333333333,0.588,0.09400000000000001,0.05000000000000001,1.7273333333333334
Slovenia,Europe,Southern Europe,SVN,6.728333333333334,1.7643333333333333,1.5863333333333334,0.6763333333333333,0.819,0.14066666666666666,0.119,1.6219999999999999
Somalia,Africa,Sub-Saharan Africa,SOM,4.347,0.535,0.877,0.046,0.916,0.206,0.192,1.575
South Africa,Africa,Sub-Saharan Africa,ZAF,5.303333333333334,1.3630000000000002,1.4206666666666667,0.20433333333333334,0.559,0.07733333333333332,0.032,1.647
South Korea,Asia,Eastern Asia,KOR,6.015666666666667,1.7923333333333333,1.2409999999999999,0.7586666666666666,0.5596666666666666,0.11266666666666668,0.15333333333333335,1.3983333333333334
Spain,Europe,Southern Europe,ESP,6.441,1.7513333333333332,1.5490000000000002,0.73,0.6286666666666667,0.11066666666666668,0.17133333333333334,1.4996666666666665
Sri Lanka,Asia,Southern Asia,LKA,4.077,1.3513333333333335,1.237,0.5263333333333333,0.606,0.12833333333333333,0.04733333333333333,0.18000000000000002
Swaziland,Africa,Sub-Saharan Africa,SWZ,3.638,1.2189999999999999,1.0385,0.107,0.356,0.056499999999999995,0.123,0.738
Sweden,Europe,Northern Europe,SWE,7.3613333333333335,1.8606666666666667,1.5696666666666665,0.725,0.848,0.20533333333333334,0.5036666666666667,1.6486666666666665
Switzerland,Europe,Western Europe,CHE,7.078333333333333,1.954,1.5033333333333332,0.7373333333333333,0.7753333333333333,0.16,0.48033333333333333,1.4683333333333335
Taiwan,Asia,Eastern Asia,TWN,6.569,1.8206666666666667,1.4336666666666666,0.653,0.657,0.064,0.18899999999999997,1.7516666666666667
Tajikistan,Asia,Central Asia,TJK,5.3705,0.9430000000000001,1.4015,0.47450000000000003,0.599,0.0945,0.317,1.823
Tanzania,Africa,Sub-Saharan Africa,TZA,3.7583333333333333,0.8343333333333334,0.8003333333333332,0.33499999999999996,0.7246666666666667,0.19266666666666668,0.25633333333333336,0.6146666666666666
Thailand,Asia,South-eastern Asia,THA,6.0136666666666665,1.4749999999999999,1.414,0.5713333333333334,0.769,0.26566666666666666,0.025333333333333333,1.4933333333333334
Togo,Africa,Sub-Saharan Africa,TGO,4.222,0.7616666666666667,0.6546666666666666,0.28633333333333333,0.4653333333333333,0.12433333333333334,0.14833333333333334,1.781666666666667
